product_id,product_name,category,brand,stock_quantity,unit_price,warehouse_location,last_updated
P1001,Wireless Mouse,Accessories,Logitech,120,25.99,Warehouse-A,2026-02-18T10:15:00Z
P1002,Mechanical Keyboard,Accessories,Keychron,75,89.00,Warehouse-B,2026-02-17T08:40:00Z
P1003,27-inch Monitor,Display,Dell,42,329.99,Warehouse-A,2026-02-16T14:20:00Z
P1004,USB-C Hub,Accessories,Anker,200,45.50,Warehouse-C,2026-02-19T09:05:00Z
P1005,External SSD 1TB,Storage,Samsung,60,119.99,Warehouse-B,2026-02-15T16:30:00Z
P1006,Laptop Stand,Accessories,Rain Design,150,39.99,Warehouse-C,2026-02-18T11:50:00Z
P1007,Noise Cancelling Headphones,Audio,Sony,35,299.00,Warehouse-A,2026-02-14T13:10:00Z
P1008,Webcam 4K,Video,Logitech,90,149.99,Warehouse-B,2026-02-19T07:45:00Z
P1009,Smartphone Charger 65W,Power,Baseus,180,35.00,Warehouse-C,2026-02-16T18:00:00Z
P1010,Bluetooth Speaker,Audio,JBL,55,129.95,Warehouse-A,2026-02-17T12:25:00Z